channel_handle,channel_name,channel_url,grade,analyzed,video_count,midform_ratio,shortform_ratio,longform_ratio,median_views,videos_analyzed,last_scanned_at,status,notes,priority
@SynthNetLab,SynthNetLab,https://www.youtube.com/@SynthNetLab/videos,미분석,no,1,0,0,0,0,0,,unused,,
@FlickStorm-g8b,FlickStorm,https://www.youtube.com/@FlickStorm-g8b/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Ali-h7n9r,Ali,https://www.youtube.com/@Ali-h7n9r/videos,미분석,no,1,0,0,0,0,0,,unused,,
@RamboGianni,Rambo Gianni,https://www.youtube.com/@RamboGianni/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MarthaWeddle,CineCrate,https://www.youtube.com/@MarthaWeddle/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Vhji-46t,Ghhh,https://www.youtube.com/@Vhji-46t/videos,미분석,no,1,0,0,0,0,0,,unused,,
@JoanNelson-o9p,BibeReel,https://www.youtube.com/@JoanNelson-o9p/videos,미분석,no,2,0,0,0,0,0,,unused,,
@ThalassiraFrame,Thalassira Frame,https://www.youtube.com/@ThalassiraFrame/videos,미분석,no,1,0,0,0,0,0,,unused,,
@IvyHarrington-6,Ivy Harrington,https://www.youtube.com/@IvyHarrington-6/videos,미분석,no,1,0,0,0,0,0,,unused,,
@RubenZuberi,Ruben Zuberi,https://www.youtube.com/@RubenZuberi/videos,미분석,no,1,0,0,0,0,0,,unused,,
@ShadowLight-b8v,ShadowLight,https://www.youtube.com/@ShadowLight-b8v/videos,미분석,no,1,0,0,0,0,0,,unused,,
@friendshipmaxig,Friendship Maxi G,https://www.youtube.com/@friendshipmaxig/videos,B,yes,1,0.58,0,0.42,1191,50,2026-04-18,unused,,medium
@IjazahmadSuaib,Ijazahmad Suaib,https://www.youtube.com/@IjazahmadSuaib/videos,미분석,no,6,0,0,0,0,0,,unused,,
@StevenGonzales-g2d,ReelZone,https://www.youtube.com/@StevenGonzales-g2d/videos,미분석,no,2,0,0,0,0,0,,unused,,
@FrameLogic-w7i,FrameLogic,https://www.youtube.com/@FrameLogic-w7i/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Whisperscene,Whisperscene,https://www.youtube.com/@Whisperscene/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Scenia-h2m,Scenia,https://www.youtube.com/@Scenia-h2m/videos,미분석,no,1,0,0,0,0,0,,unused,,
@NitroMarshal,NitroMarshal,https://www.youtube.com/@NitroMarshal/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Cadastre-t6q,Cadastre,https://www.youtube.com/@Cadastre-t6q/videos,미분석,no,2,0,0,0,0,0,,unused,,
@CosmicReel-d6m,CosmicReel,https://www.youtube.com/@CosmicReel-d6m/videos,미분석,no,1,0,0,0,0,0,,unused,,
@SilentRecall,SilentRecall,https://www.youtube.com/@SilentRecall/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MovieMiniature,Movie Miniature,https://www.youtube.com/@MovieMiniature/videos,미분석,no,1,0,0,0,0,0,,unused,,
@geniusmovie-b8v,genius movie,https://www.youtube.com/@geniusmovie-b8v/videos,미분석,no,3,0,0,0,0,0,,unused,,
@PlotGrid-h6t,PlotGrid,https://www.youtube.com/@PlotGrid-h6t/videos,미분석,no,1,0,0,0,0,0,,unused,,
@BARRETTDANNETTE,Shock Junkie,https://www.youtube.com/@BARRETTDANNETTE/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Movon-q8y,Movon,https://www.youtube.com/@Movon-q8y/videos,미분석,no,1,0,0,0,0,0,,unused,,
@VeilMotion,Veil  Motion,https://www.youtube.com/@VeilMotion/videos,미분석,no,1,0,0,0,0,0,,unused,,
@FrameSync-q6z,FrameSync,https://www.youtube.com/@FrameSync-q6z/videos,미분석,no,1,0,0,0,0,0,,unused,,
@uocNguyenThi-pl7ig,Benjamin,https://www.youtube.com/@uocNguyenThi-pl7ig/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Diodinhor,Diodinho,https://www.youtube.com/@Diodinhor/videos,미분석,no,1,0,0,0,0,0,,unused,,
@LumeVision-i9v,LumeVision,https://www.youtube.com/@LumeVision-i9v/videos,미분석,no,1,0,0,0,0,0,,unused,,
